IdSucursal;NroRemito;ItemRemito;IDCodProd;Cantidad;UnidadMedida
5;52;3;75;1;C/U
5;52;4;65;3;C/U
5;52;5;45FKA;2;C/U
5;52;6;ON65;1;C/U
5;53;1;75;2;C/U
5;54;1;45FKA;3;C/U
5;54;2;65;5;C/U
5;54;3;75;3;C/U
5;55;1;180;20;C/U
5;55;2;110;3;C/U
5;55;3;100SP;2;C/U
5;55;4;ON65;1;C/U
5;55;5;65;16;C/U
5;55;6;Q750;1;C/U
5;55;7;45FKA;2;C/U
5;55;8;75;9;C/U
5;56;1;65;2;C/U
5;56;2;ON65;2;C/U
5;57;1;180;7;C/U
5;58;1;180;2;C/U
5;59;1;180;1;C/U
5;60;1;110;2;C/U
5;61;1;110;2;C/U
5;62;1;110;2;C/U
5;63;1;75;3;C/U
5;63;2;110;1;C/U
5;64;1;180;4;C/U
5;65;1;180;4;C/U
5;66;1;100SP;2;C/U
5;67;1;45FKA;10;C/U
5;67;2;65;10;C/U
5;67;3;75;20;C/U
5;67;4;110;5;C/U
5;67;5;180;15;C/U
5;68;1;65;5;C/U
5;69;1;180;2;C/U
5;69;2;110;4;C/U
5;69;3;90;1;C/U
5;69;4;Q750;1;C/U
5;70;1;180;7;C/U
5;71;1;180;2;C/U
5;72;1;180;1;C/U
5;73;1;180;7;C/U
5;74;1;65;10;C/U
5;75;1;180;2;C/U
5;76;1;45FKA;10;C/U
5;76;2;ON65;8;C/U
5;76;3;65;30;C/U
5;76;4;ON75;8;C/U
5;76;5;75;30;C/U
5;76;6;90;5;C/U
5;76;7;110;8;C/U
5;76;8;1004X4;7;C/U
5;76;9;100SP;8;C/U
5;76;10;180;8;C/U
5;77;1;45FKA;5;C/U
5;77;2;65;6;C/U
5;78;1;180;4;C/U
5;79;1;45FKA;2;C/U
5;79;2;65;2;C/U
5;79;3;75;2;C/U
5;79;4;110;1;C/U
5;80;1;65;4;C/U
5;80;2;75;5;C/U
5;81;1;110;3;C/U
5;82;1;180;6;C/U
5;83;1;65;3;C/U
5;83;2;75;1;C/U
5;84;1;65;20;C/U
5;84;2;75;20;C/U
5;84;3;1004X4IZQ;2;C/U
5;84;4;100SP;5;C/U
5;84;5;110;5;C/U
5;84;6;240;3;C/U
5;85;1;65;20;C/U
5;86;1;180;7;C/U
5;87;1;180;2;C/U
5;88;1;180;1;C/U
5;89;1;110;2;C/U
5;90;1;75;1;C/U
5;91;1;180;4;C/U
5;92;1;180;20;C/U
5;92;2;110;2;C/U
5;92;3;100SP;1;C/U
5;92;4;45FKA;1;C/U
5;92;5;ON75;1;C/U
5;92;6;75;7;C/U
5;92;7;65;5;C/U
5;93;1;6225;8;C/U
5;94;1;110;2;C/U
5;94;2;1004X4;2;C/U
5;94;3;75;4;C/U
5;94;4;65;2;C/U
5;94;5;45FKA;2;C/U
5;95;1;180;6;C/U
5;96;1;45FIT;10;C/U
5;96;2;45CRV;10;C/U
5;97;1;65;1;C/U
5;97;2;1004X4;3;C/U
5;98;1;45FKA;4;C/U
5;99;1;110;60;C/U
5;99;2;180;5;C/U
