NroNotaCredito;TipoNotaCredito;ItemNotaCredito;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
100;A;1;RES;1;52892.56;0;52892.56;;0.0
101;A;1;65;4;1471.07;25;4413.21;C/U;1471.07
101;A;2;75;1;1760.33;25;1320.25;C/U;440.08
101;A;3;45FKA;1;1471.07;25;1103.3;C/U;367.77
102;A;1;75;60;1156.0;0;69360.0;C/U;0.0
102;A;2;65;40;1017.0;0;40680.0;C/U;0.0
102;A;3;100;25;1956.0;0;48900.0;C/U;0.0
102;A;4;180;25;2959.0;0;73975.0;C/U;0.0
102;A;5;1004X4;15;1793.0;0;26895.0;C/U;0.0
102;A;6;120;5;2156.0;0;10780.0;C/U;0.0
102;A;7;45FKA;15;1158.0;0;17370.0;C/U;0.0
102;A;8;80T;5;1597.0;0;7985.0;C/U;0.0
102;A;9;90;5;1793.0;0;8965.0;C/U;0.0
102;A;10;110C;5;1793.0;0;8965.0;C/U;0.0
102;A;11;6200;1;1917.0;0;1917.0;C/U;0.0
103;A;1;240;4;6740.0;10;24264.0;C/U;2696.0
104;A;1;65;2;1295.86;0;2591.72;C/U;0.0
105;A;1;RES;39;250.0;0;9750.0;;0.0
105;A;2;RES;3;120.0;0;360.0;;0.0
106;A;1;110C;2;3049.58;20;4879.33;C/U;1219.83
107;A;1;180;1;4508.26;20;3606.61;C/U;901.65
108;A;1;65;2;1619.83;20;2591.73;C/U;647.93
108;A;2;75;1;1938.01;20;1550.41;C/U;387.6
109;A;1;110C;2;3049.58;20;4879.33;C/U;1219.83
110;A;1;110C;4;3049.58;25;9148.74;C/U;3049.58
110;A;2;90;4;2995.86;25;8987.58;C/U;2995.86
110;A;3;80T;1;2252.06;25;1689.05;C/U;563.02
110;A;4;75;2;1938.01;25;2907.02;C/U;969.01
110;A;5;65;1;1619.83;25;1214.87;C/U;404.96
111;A;1;1004X4;2;2995.86;20;4793.38;C/U;1198.34
112;A;1;180;1;3422.31;0;3422.31;C/U;0.0
113;A;1;TO;42;11135.0;0;467670.0;;0.0
114;A;1;75;1;1938.01;20;1550.41;C/U;387.6
114;A;2;50;1;1619.83;20;1295.86;C/U;323.97
115;A;1;N24;1;2132.23;0;2132.23;C/U;0.0
116;A;1;180;10;4958.67;30;34710.69;C/U;14876.01
116;A;2;65;2;1780.99;25;2671.49;C/U;890.5
116;A;3;80T;1;2479.33;25;1859.5;C/U;619.83
117;A;1;75;2;1705.78;0;3411.56;C/U;0.0
118;A;1;75;2;1705.78;0;3411.56;C/U;0.0
118;A;2;65;2;1424.79;0;2849.58;C/U;0.0
118;A;3;45FKA;2;1424.79;0;2849.58;C/U;0.0
119;A;1;65;4;1246.28;0;4985.12;C/U;0.0
119;A;2;75;4;1493.38;0;5973.52;C/U;0.0
119;A;3;90;1;2141.32;0;2141.32;C/U;0.0
120;A;1;TO;18916;56.0;0;1059296.0;;0.0
121;A;1;CHE;1;36750.0;0;36750.0;C/U;0.0
121;A;2;GTO;1;123.96;0;123.96;;0.0
122;A;1;AG;680;24.0;25;12240.0;LTS;4080.0
123;A;1;RES;74723;20.64;0;1542282.72;;0.0
124;A;1;65;3;1780.99;0;5342.97;C/U;0.0
125;A;1;180;6;5454.54;0;32727.24;C/U;0.0
126;A;1;180;7;5454.54;0;38181.78;C/U;0.0
126;A;2;110C;7;3690.08;0;25830.56;C/U;0.0
127;A;1;180;4;3775.82;0;15103.28;C/U;0.0
128;A;1;180;7;5454.54;20;30545.42;C/U;7636.36
128;A;2;75;10;2347.1;20;18776.8;C/U;4694.2
129;A;1;45FKA;4;1371.07;0;5484.28;C/U;0.0
129;A;2;65;7;1371.07;0;9597.49;C/U;0.0
129;A;3;75;5;1642.97;0;8214.85;C/U;0.0
129;A;4;80T;1;1909.09;0;1909.09;C/U;0.0
130;A;1;65;8;1371.07;0;10968.56;C/U;0.0
130;A;2;75;15;1642.97;0;24644.55;C/U;0.0
130;A;3;90;2;2536.77;0;5073.54;C/U;0.0
130;A;4;80T;1;1909.09;0;1909.09;C/U;0.0
130;A;5;110C;3;2583.06;0;7749.18;C/U;0.0
131;A;1;180;7;3818.18;0;26727.26;C/U;0.0
131;A;2;110C;5;2583.06;0;12915.3;C/U;0.0
131;A;3;1004X4;2;2536.77;0;5073.54;C/U;0.0
131;A;4;75;5;1642.97;0;8214.85;C/U;0.0
132;A;1;90;1;3623.96;20;2899.17;C/U;724.79
133;A;1;65F;5;1289.25;0;6446.25;C/U;0.0
133;A;2;75F;5;2347.1;0;11735.5;C/U;0.0
134;A;1;45FKA;1;1818.18;0;1818.18;C/U;0.0
135;A;1;45FIT;1;2417.36;0;2417.36;C/U;0.0
