IdSucursal;NroRemito;FechaRemito;CodCliente;UnidadNegocio;CodVendedor;NroFactura;TipoFactura;Item;AclaracionRemito
5;18248;2017-08-31 00:00:00;921;;300;1695;A;1;
5;18249;2017-08-31 00:00:00;2182;;300;1696;A;1;
5;18301;2017-11-27 00:00:00;305;;200;1944;A;1;
5;18303;2017-11-29 00:00:00;472;;100;1950;A;1;
5;18304;2017-11-29 00:00:00;472;;100;0;;0;
5;18305;2017-11-29 00:00:00;611;;200;1951;A;1;
5;18306;2017-11-29 00:00:00;2010;;100;1952;A;1;
5;18308;2017-12-01 00:00:00;1040;;700;1961;A;1;
5;18309;2017-12-04 00:00:00;544;;300;1963;A;1;
5;18310;2017-12-05 00:00:00;472;;100;1966;A;1;
5;18311;2017-12-05 00:00:00;472;;100;0;;0;
5;18312;2017-12-05 00:00:00;635;;700;1968;A;1;
5;18314;2017-12-06 00:00:00;632;;100;1969;A;1;
5;18315;2017-12-07 00:00:00;345;;200;1971;A;1;
5;18316;2017-12-11 00:00:00;681;;300;1972;A;1;
5;18317;2017-12-11 00:00:00;2193;;600;1973;A;1;
5;18318;2017-12-12 00:00:00;2149;;400;1977;A;1;
5;18319;2017-12-12 00:00:00;406;;100;1978;A;1;
5;18320;2017-12-12 00:00:00;1040;;700;1983;A;1;
5;18321;2017-12-13 00:00:00;345;;200;1985;A;1;
5;18322;2017-12-13 00:00:00;545;;500;1986;A;1;
5;18323;2017-12-13 00:00:00;24;;500;1987;A;1;
5;18324;2017-12-13 00:00:00;1055;;200;1988;A;1;
5;18325;2017-12-13 00:00:00;78;;100;1989;A;1;
5;18326;2017-12-15 00:00:00;544;;300;1993;A;1;
5;18327;2017-12-18 00:00:00;918;;400;1996;A;1;
5;18329;2017-12-20 00:00:00;2193;;600;2003;A;1;
5;18330;2017-12-21 00:00:00;1051;;700;2007;A;1;
5;18331;2017-12-26 00:00:00;472;;100;2014;A;1;
5;18332;2017-12-27 00:00:00;611;;200;2018;A;1;
5;18333;2017-12-27 00:00:00;352;;200;2019;A;1;
5;18334;2017-12-28 00:00:00;558;;400;2020;A;1;
5;18335;2017-12-28 00:00:00;1210;;400;2023;A;1;
5;18336;2017-12-29 00:00:00;472;;100;2024;A;1;
5;18337;2018-01-02 00:00:00;345;;200;2032;A;1;
5;18338;2018-01-02 00:00:00;2020;;700;2029;A;1;
5;18339;2018-01-03 00:00:00;544;;300;2033;A;1;
5;18340;2018-01-04 00:00:00;345;;200;2037;A;1;
5;18341;2018-01-04 00:00:00;2010;;100;0;;0;
5;18342;2018-01-05 00:00:00;1040;;700;2045;A;1;
5;18344;2018-01-09 00:00:00;78;;100;2051;A;1;
5;18345;2018-01-09 00:00:00;696;;500;2052;A;1;
5;18346;2018-01-09 00:00:00;387;;500;2053;A;1;
5;18347;2018-01-10 00:00:00;345;;200;2058;A;1;
5;18348;2018-01-11 00:00:00;1210;;400;2061;A;1;
5;18349;2018-01-11 00:00:00;635;;700;2062;A;1;
5;18350;2018-01-12 00:00:00;472;;100;2064;A;1;
5;18351;2018-01-03 00:00:00;2094;;300;52;B;1;
5;18352;2018-01-04 00:00:00;1209;;300;2036;A;1;
5;18353;2018-01-05 00:00:00;921;;300;2039;A;1;
5;18354;2018-01-05 00:00:00;921;;300;2040;A;1;
5;18355;2018-01-05 00:00:00;921;;300;2041;A;1;
5;18356;2018-01-10 00:00:00;680;;300;2057;A;1;
5;18357;2018-01-11 00:00:00;1209;;300;2060;A;1;
5;18358;2018-01-11 00:00:00;921;;300;2059;A;1;
5;18359;2018-01-12 00:00:00;523;;300;2065;A;1;
5;18360;2018-01-15 00:00:00;588;;300;2066;A;1;
5;18361;2018-01-17 00:00:00;680;;300;2079;A;1;
