NroPresu;FechaPresu;TotalPresu;SubTotalPresu;CodCliente;PorcentajeDesc;ImporteDesc;FormaPago;UnidadNegocio;CodVendedor;Anulado
13901;2017-07-05 00:00:00;3217.5;3217.5;636;25.0;;;;200;
13906;2017-07-19 00:00:00;2955.0;2955.0;430;25.0;;;;200;
13911;2017-07-19 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13913;2017-07-19 00:00:00;3442.5;3442.5;636;25.0;;;;200;
13914;2017-07-19 00:00:00;2328.75;2328.75;636;25.0;;;;200;
13915;2017-07-19 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13916;2017-07-19 00:00:00;4192.5;4192.5;430;25.0;;;;200;
13923;2017-07-19 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13930;2017-08-04 00:00:00;3195.0;3195.0;430;25.0;;;;200;
13936;2017-08-04 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13937;2017-08-04 00:00:00;4432.5;4432.5;430;25.0;;;;200;
13940;2017-08-04 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13941;2017-08-04 00:00:00;2955.0;2955.0;430;25.0;;;;200;
13944;2017-08-28 00:00:00;1717.5;1717.5;430;25.0;;;;200;
13947;2017-08-28 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13952;2017-08-28 00:00:00;4252.5;4252.5;430;25.0;;;;200;
13959;2017-08-28 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13963;2017-08-28 00:00:00;2715.0;2715.0;430;25.0;;;;200;
13964;2017-08-28 00:00:00;4920.0;4920.0;430;25.0;;;;200;
13971;2017-09-25 00:00:00;2955.0;2955.0;430;25.0;;;;200;
13975;2017-09-25 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13982;2017-09-25 00:00:00;1477.5;1477.5;430;25.0;;;;200;
13983;2017-09-25 00:00:00;1660.0;1660.0;48;20.0;;;;200;
13985;2017-10-09 00:00:00;2955.0;2955.0;430;25.0;;;;200;
13995;2017-10-09 00:00:00;4920.0;4920.0;430;25.0;;;;200;
13996;2017-10-09 00:00:00;3442.5;3442.5;430;25.0;;;;200;
14009;2017-10-19 00:00:00;4432.5;4432.5;430;25.0;;;;200;
14011;2017-10-19 00:00:00;1237.5;1237.5;430;25.0;;;;200;
14012;2017-10-19 00:00:00;5730.0;5730.0;842;25.0;;;;200;si
14019;2017-10-26 00:00:00;1477.5;1477.5;430;25.0;;;;200;
14029;2017-11-24 00:00:00;1751.25;1751.25;430;25.0;;;;200;
14047;2017-11-24 00:00:00;12615.0;12615.0;430;25.0;;;;200;
14052;2017-11-24 00:00:00;1477.5;1477.5;430;25.0;;;;200;
14055;2017-12-18 00:00:00;1477.5;1477.5;430;25.0;;;;200;
14057;2017-12-18 00:00:00;2328.75;2328.75;430;25.0;;;;200;
14063;2017-12-18 00:00:00;3442.5;3442.5;430;25.0;;;;200;
14064;2017-12-18 00:00:00;2328.75;2328.75;636;25.0;;;;200;
14076;2018-01-05 00:00:00;1612.5;1612.5;430;25.0;;;;200;
14077;2018-01-05 00:00:00;3442.5;3442.5;430;25.0;;;;200;
14082;2018-01-05 00:00:00;1477.5;1477.5;430;25.0;;;;200;
14089;2018-01-05 00:00:00;1237.5;1237.5;430;25.0;;;;200;
14094;2018-01-05 00:00:00;3442.5;3442.5;430;25.0;;;;200;
14096;2018-01-05 00:00:00;1237.5;1237.5;430;25.0;;;;200;
14097;2018-01-05 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14100;2018-01-05 00:00:00;2932.5;2932.5;430;25.0;;;;200;
14111;2018-01-18 00:00:00;2684.0;2684.0;263;20.0;;;;300;
14112;2018-01-11 00:00:00;730.0;730.0;1370;0.0;;;;700;
14114;2018-01-18 00:00:00;1335.0;1335.0;430;25.0;;;;200;
14124;2018-01-18 00:00:00;5317.5;5317.5;430;25.0;;;;200;
14125;2018-01-18 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14127;2018-01-29 00:00:00;2684.0;2684.0;263;20.0;;;;300;
14129;2018-02-26 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14130;2018-01-25 00:00:00;1597.5;1597.5;430;25.0;;;;200;
14151;2018-02-26 00:00:00;2100.0;2100.0;430;25.0;;;;200;
