IdSucursal;NroPago;LineaPago;FormaPago;ImportePago;Observaciones
5;31.0;1;Transferencia;3213137.2;
2;31.0;2;Cheque;4500.0;
5;31.0;2;Retencion;398468.0;
2;31.0;3;Retencion;8.3;
2;32.0;1;Efectivo;10040.0;
5;32.0;1;Transferencia;1784720.0;
5;32.0;2;Retencion;25440.0;
2;33.0;1;Cheque;30117.0;
5;33.0;1;Cheque;520080.0;
2;34.0;1;Efectivo;3729.0;
5;34.0;1;Transferencia;2136496.25;
2;34.0;2;Cheque;2841.0;
5;34.0;2;Retencion;35907.5;
2;35.0;1;Efectivo;1400.0;
5;35.0;1;Cheque;93688.0;
2;36.0;1;Efectivo;6365.49;
5;36.0;1;Cheque;7247167.95;
2;37.0;1;Efectivo;1380.0;
5;37.0;1;Efectivo;566735.48;
2;37.0;3;Cheque;6000.0;
2;38.0;1;Efectivo;6875.0;
5;38.0;1;Transferencia;12456950.0;
2;39.0;1;Efectivo;8617.0;
5;39.0;1;Transferencia;225633.99;
5;39.0;2;Cheque;479166.0;
2;40.0;1;Cheque;21000.0;
5;40.0;1;Transferencia;938342.01;
5;40.0;2;Retencion;7819.52;
2;41.0;1;Efectivo;5700.0;
5;41.0;1;Transferencia;500000.0;
5;41.0;2;Retencion;3848.07;
2;42.0;1;Cheque;98957.83;
5;42.0;1;Cheque;1021164.3;
2;42.0;2;Retencion;81.78;
2;43.0;1;Efectivo;28583.83;
5;43.0;1;Transferencia;500000.0;
2;43.0;2;Retencion;23.35;
5;43.0;2;Retencion;8403.36;
2;44.0;1;Efectivo;21038.5;
5;44.0;1;Transferencia;1905770.61;
5;44.0;2;Retencion;27474.46;
2;45.0;1;Efectivo;435.75;
5;45.0;1;Cheque;4797082.2;
2;45.0;2;Cheque;5728.0;
2;46.0;1;Cheque;14000.0;
5;46.0;1;Cheque;4797082.2;
5;46.0;2;Retencion;76067.94;
2;47.0;1;Cheque;4529.0;
5;47.0;1;Cheque;689137.46;
5;47.0;2;Retencion;7026.85;
2;48.0;1;Efectivo;8650.0;
5;48.0;1;Transferencia;793898.02;
5;48.0;2;Retencion;13342.82;
2;49.0;1;Cheque;6027.0;
5;49.0;1;Cheque;220410.0;
5;50.0;1;Transferencia;502488.26;
2;50.0;2;Cheque;4573.61;
5;50.0;2;Retencion;8445.18;
2;51.0;1;Cheque;2420.0;
5;51.0;1;Transferencia;297159.99;
2;52.0;1;Cheque;11257.99;
5;52.0;1;Cheque;5000000.0;
2;53.0;1;Efectivo;1100.0;
5;53.0;1;Cheque;4087041.79;
2;54.0;1;Cheque;10000.0;
5;54.0;1;Transferencia;2369605.0;
5;54.0;2;Retencion;35270.0;
2;55.0;1;Efectivo;207.0;
5;55.0;1;Cheque;352399.99;
2;55.0;2;Cheque;12381.07;
2;56.0;1;Cheque;2456.0;
5;56.0;1;Transferencia;938332.41;
5;56.0;2;Retencion;7819.44;
2;57.0;1;Cheque;12706.49;
5;57.0;1;Transferencia;565053.13;
2;57.0;2;Retencion;20.99;
5;57.0;2;Retencion;7463.08;
2;58.0;1;Efectivo;1464.0;
5;58.0;1;Cheque;1048462.79;
2;59.0;1;Efectivo;8974.0;
5;59.0;1;Transferencia;528600.0;
2;59.0;2;Cheque;25296.0;
2;60.0;1;Mercaderia;17060.0;
5;60.0;1;Transferencia;586781.98;
5;60.0;2;Retencion;62604.59;
2;61.0;1;Cheque;2662.0;
5;61.0;1;Transferencia;975402.81;
5;61.0;2;Retencion;11838.03;
2;62.0;1;Efectivo;1533.0;
5;62.0;1;Transferencia;1013396.34;
2;62.0;2;Cheque;583.0;
5;63.0;1;Cheque;352399.99;
2;64.0;1;Efectivo;2250.0;
5;64.0;1;Transferencia;1145575.77;
5;64.0;2;Retencion;14698.08;
2;65.0;1;Efectivo;2300.0;
5;65.0;1;Transferencia;2286671.53;
5;65.0;2;Retencion;33876.16;
2;66.0;1;Efectivo;1.18;
5;66.0;1;Transferencia;2286671.53;
2;66.0;2;Cheque;3900.0;
5;66.0;2;Retencion;33876.16;
2;67.0;1;Cheque;16886.98;
5;67.0;1;Transferencia;3502299.86;
5;67.0;2;Retencion;54306.89;
5;68.0;1;Transferencia;872497.99;
2;69.0;1;Efectivo;1133.88;
5;69.0;1;Transferencia;2826379.76;
5;69.0;2;Retencion;42946.89;
2;70.0;1;Cheque;4649.07;
5;70.0;1;Transferencia;938342.01;
5;70.0;2;Retencion;7819.52;
2;71.0;1;Cheque;5054.07;
5;71.0;1;Transferencia;2267116.25;
5;71.0;2;Retencion;33547.5;
2;72.0;1;Cheque;11081.65;
5;72.0;1;Cheque;7167899.77;
2;73.0;1;Efectivo;1315.0;
5;73.0;1;Cheque;1540788.86;
2;74.0;1;Efectivo;3000.0;
5;74.0;1;Transferencia;500000.0;
5;74.0;2;Retencion;8403.36;
2;75.0;1;Efectivo;6814.0;
5;75.0;1;Efectivo;498399.99;
2;76.0;1;Efectivo;440.0;
5;76.0;1;Transferencia;34147960.0;
2;76.0;2;Cheque;6996.0;
5;76.0;2;Retencion;569360.0;
2;77.0;1;Cheque;8620.0;
5;77.0;1;Cheque;3377785.64;
5;77.0;2;Retencion;52214.21;
2;78.0;1;Efectivo;2784.0;
5;78.0;1;Cheque;968281.61;
5;78.0;2;Retencion;11718.35;
2;79.0;1;Efectivo;274.0;
5;79.0;1;Cheque;486380.81;
2;79.0;2;Cheque;4206.0;
5;79.0;2;Retencion;3619.17;
2;80.0;1;Efectivo;1133.88;
5;80.0;1;Transferencia;1500418.64;
5;80.0;2;Retencion;23936.15;
2;81.0;1;Efectivo;7642.02;
5;81.0;1;Efectivo;113500.0;
5;81.0;2;Cheque;1332890.0;
2;82.0;1;Efectivo;22130.0;
5;82.0;1;Transferencia;313000.0;
2;83.0;1;Cheque;16285.43;
5;83.0;1;Cheque;383904.0;
2;83.0;2;Retencion;26.9;
2;84.0;1;Efectivo;4912.0;
5;84.0;1;Transferencia;176199.99;
2;85.0;1;Mercaderia;25773.38;
5;85.0;1;Transferencia;243787.5;
2;85.0;2;Otros;0.0;PAGO DE FACTURA POR IVA
2;86.0;1;Efectivo;3885.22;
5;86.0;1;Cheque;352399.99;
2;87.0;1;Efectivo;73.17;
5;87.0;1;Cheque;352399.99;
2;87.0;2;Cheque;15405.21;
2;87.0;3;Retencion;24.9;
2;88.0;1;Efectivo;7000.0;
5;88.0;1;Cheque;11970999.77;
2;89.0;1;Mercaderia;40203.0;
5;89.0;1;Transferencia;6468643.61;
2;89.0;2;Otros;0.0;POR FACTURA
5;89.0;2;Retencion;158840.53;
2;90.0;1;Efectivo;18613.0;
5;90.0;1;Transferencia;2338070.0;
2;90.0;2;Cheque;3120.0;
5;90.0;2;Retencion;34740.0;
2;91.0;1;Cheque;4450.0;
5;91.0;1;Efectivo;57400.0;
5;91.0;2;Cheque;418708.39;
2;92.0;1;Efectivo;49.28;
5;92.0;1;Efectivo;1016311.9;
2;92.0;2;Cheque;2700.0;
5;92.0;2;Retencion;12525.58;
2;93.0;1;Cheque;28255.26;
5;93.0;1;Cheque;6498111.03;
5;93.0;2;Retencion;104656.66;
2;94.0;1;Rezago;100.0;
5;94.0;1;Transferencia;1396956.67;
5;94.0;2;Retencion;22285.62;
2;95.0;1;Efectivo;650.0;
5;95.0;1;Cheque;914451.74;
2;95.0;2;Cheque;4057.0;
5;95.0;2;Retencion;14588.23;
2;96.0;1;Efectivo;2469.0;
5;96.0;1;Transferencia;5819794.56;
2;96.0;2;Cheque;2204.1;
5;96.0;2;Retencion;138317.74;
2;97.0;1;Efectivo;876.0;
5;97.0;1;Cheque;872479.99;
2;97.0;2;Rezago;100.0;
2;97.0;3;Cheque;2600.0;
2;98.0;1;Efectivo;3075.0;
5;98.0;1;Transferencia;84688.0;
5;98.0;2;Rezago;9000.0;
2;99.0;1;Efectivo;11309.95;
5;99.0;1;Cheque;464520.0;
2;100.0;1;Cheque;11257.99;
5;100.0;1;Cheque;5000000.0;
5;101.0;1;Transferencia;500110.07;
5;101.0;2;Retencion;3849.92;
5;102.0;1;Transferencia;349487.59;
5;102.0;2;Retencion;2912.4;
2;103.0;1;Cheque;18622.16;
5;103.0;1;Cheque;5177112.77;
5;104.0;1;Cheque;5000000.0;
2;105.0;1;Cheque;223610.59;
5;105.0;1;Cheque;5000000.0;
2;106.0;1;Cheque;29314.05;
5;106.0;1;Cheque;5000000.0;
2;107.0;1;Cheque;82204.01;
5;107.0;1;Cheque;5427388.85;
2;107.0;2;Retencion;134.43;
2;108.0;1;Cheque;67928.62;
5;108.0;1;Transferencia;154175.0;
2;108.0;2;Retencion;56.05;
2;109.0;1;Cheque;28114.55;
5;109.0;1;Transferencia;1506038.91;
5;109.0;2;Retencion;12550.32;
2;110.0;1;Cheque;25000.0;
5;110.0;1;Transferencia;516185.87;
5;110.0;2;Retencion;8675.39;
2;111.0;1;Mercaderia;801514.0;
2;112.0;1;Mercaderia;402035.0;
5;112.0;1;Transferencia;1866748.27;
5;112.0;2;Retencion;26818.63;
2;113.0;1;Efectivo;2603.3;
5;113.0;1;Transferencia;935614.15;
5;113.0;2;Retencion;11169.31;
2;114.0;1;Efectivo;9406.2;
5;114.0;1;Cheque;6408413.41;
5;114.0;2;Retencion;103149.13;
2;115.0;1;Efectivo;1669.99;
5;115.0;1;Transferencia;500000.0;
5;115.0;2;Retencion;8403.36;
2;116.0;1;Efectivo;4900.0;
5;116.0;1;Transferencia;956384.21;
5;116.0;2;Retencion;16073.69;
2;117.0;1;Cheque;121322.8;
5;117.0;1;Transferencia;6419652.7;
5;117.0;2;Retencion;103338.03;
2;118.0;1;Cheque;65814.0;
5;118.0;1;Transferencia;21417.37;
5;118.0;2;Cheque;9855257.53;
2;119.0;1;Cheque;19416.94;
5;119.0;1;Transferencia;750000.0;
2;119.0;2;Retencion;1878.49;
5;119.0;2;Retencion;12605.04;
2;120.0;1;Cheque;56229.1;
5;120.0;1;Cheque;90750.0;
2;121.0;1;Cheque;4650.0;
5;121.0;1;Transferencia;479880.0;
2;122.0;1;Efectivo;26542.0;
5;122.0;1;Cheque;464519.98;
2;123.0;1;Efectivo;44618.0;
5;123.0;1;Cheque;1057199.97;
2;125.0;1;Mercaderia;2415.02;
2;128.0;1;Efectivo;13818.0;
2;128.0;2;Cheque;1472.2;
2;129.0;1;Efectivo;500.0;
2;129.0;2;Rezago;100.0;
2;130.0;1;Efectivo;251.0;
2;130.0;2;Cheque;6050.17;
2;131.0;1;Cheque;20961.29;
2;131.0;2;Retencion;34.62;
2;132.0;1;Efectivo;1388.99;
2;132.0;2;Retencion;2.21;
2;133.0;1;Efectivo;518.0;
2;133.0;2;Rezago;100.0;
2;133.0;3;Cheque;1000.0;
2;134.0;1;Cheque;84343.65;
2;135.0;1;Cheque;215981.87;
2;135.0;2;Retencion;2135.78;
2;137.0;1;Efectivo;35116.62;
2;138.0;1;Cheque;355075.8;
2;139.0;1;Cheque;61852.1;
2;140.0;1;Efectivo;58709.0;
2;141.0;1;Cheque;6000.0;
2;142.0;1;Efectivo;12714.0;
2;142.0;2;Cheque;3936.0;
2;143.0;1;Cheque;15479.71;
2;144.0;1;Efectivo;698.0;
2;145.0;1;Efectivo;2907.18;
2;146.0;1;Cheque;16829.8;
2;146.0;2;Retencion;27.88;
2;147.0;1;Efectivo;1268.0;
2;148.0;1;Cheque;2950.0;
2;150.0;1;Efectivo;1000.0;
2;151.0;1;Efectivo;1620.0;
2;151.0;2;Cheque;1500.0;
2;152.0;1;Efectivo;1336.0;
2;154.0;1;Efectivo;3585.0;
2;155.0;1;Efectivo;1120.0;
2;156.0;1;Efectivo;1669.99;
2;157.0;1;Cheque;1392.0;
2;158.0;1;Efectivo;1152.4;
2;159.0;1;Efectivo;3120.0;
2;160.0;1;Efectivo;926.0;
2;161.0;1;Rezago;2178.02;
2;162.0;1;Cheque;23752.68;
2;163.0;1;Cheque;3436.31;
2;164.0;1;Efectivo;1339.41;
2;165.0;1;Cheque;45953.77;
2;166.0;1;Cheque;16886.98;
2;167.0;1;Efectivo;1292.0;
2;167.0;2;Cheque;2500.0;
2;168.0;1;Cheque;6000.0;
2;169.0;1;Efectivo;1000.0;
2;170.0;1;Efectivo;3576.0;
2;171.0;1;Efectivo;1336.0;
2;172.0;1;Efectivo;199080.0;
2;173.0;1;Efectivo;1005.0;
2;174.0;1;Cheque;2527.04;
2;175.0;1;Cheque;84343.65;
2;176.0;1;Cheque;5156.0;
2;177.0;1;Efectivo;1152.0;
2;178.0;1;Efectivo;2362.0;
2;178.0;2;Rezago;100.0;
2;179.0;1;Efectivo;54.07;
2;179.0;2;Cheque;5000.0;
2;180.0;1;Efectivo;1472.0;
2;181.0;1;Efectivo;1475.65;
2;182.0;1;Efectivo;2535.26;
2;183.0;1;Efectivo;500.0;
2;183.0;2;Rezago;100.0;
2;184.0;1;Efectivo;2710.7;
2;185.0;1;Efectivo;1270.0;
2;186.0;1;Cheque;56510.52;
2;187.0;1;Cheque;115546.4;
2;187.0;2;Retencion;1872.0;
2;188.0;1;Efectivo;2464.0;
2;189.0;1;Efectivo;1810.02;
2;189.0;2;Cheque;13141.19;
2;190.0;1;Efectivo;915.0;
2;191.0;1;Cheque;33295.21;
2;191.0;2;Retencion;66.72;
2;192.0;1;Cheque;105830.24;
2;193.0;1;Cheque;68959.62;
2;193.0;2;Retencion;665.58;
2;194.0;1;Efectivo;2120.0;
2;195.0;1;Efectivo;1472.0;
2;196.0;1;Efectivo;2470.0;
2;197.0;1;Efectivo;4049.84;
2;198.0;1;Efectivo;1475.0;
2;199.0;1;Efectivo;1515.0;
2;200.0;1;Cheque;68959.62;
2;200.0;2;Retencion;666.58;
2;201.0;1;Cheque;538102.05;
2;202.0;1;Cheque;76894.0;
2;203.0;1;Cheque;5801.53;
2;204.0;1;Efectivo;1500.0;
2;205.0;1;Cheque;1394.0;
2;206.0;1;Cheque;6909.66;
2;206.0;2;Retencion;11.45;
2;207.0;1;Efectivo;1375.0;
2;208.0;1;Efectivo;2527.0;
2;209.0;1;Efectivo;1350.0;
2;211.0;1;Cheque;13839.5;
2;212.0;1;Cheque;7366.04;
2;212.0;2;Retencion;12.2;
2;213.0;1;Efectivo;1200.0;
2;214.0;1;Efectivo;400.0;
2;214.0;2;Rezago;100.0;
2;215.0;1;Efectivo;6665.51;
2;216.0;1;Efectivo;800.0;
2;217.0;1;Efectivo;650.0;
2;218.0;1;Cheque;30974.15;
2;218.0;2;Retencion;62.07;
2;219.0;1;Cheque;64677.0;
2;220.0;1;Efectivo;800.0;
2;221.0;1;Efectivo;434.0;
2;221.0;2;Cheque;1851.3;
2;222.0;1;Cheque;13827.35;
2;222.0;2;Retencion;22.9;
2;223.0;1;Efectivo;1336.0;
2;224.0;1;Cheque;252354.0;
2;225.0;1;Efectivo;1200.0;
2;226.0;1;Cheque;5680.0;
2;227.0;1;Efectivo;1000.0;
2;228.0;1;Cheque;36031.05;
2;228.0;2;Retencion;72.21;
2;229.0;1;Cheque;9196.07;
2;230.0;1;Efectivo;1000.0;
2;231.0;1;Cheque;2458.02;
2;231.0;2;Retencion;4.07;
2;232.0;1;Cheque;8850.0;
2;233.0;1;Cheque;6245.12;
2;233.0;2;Retencion;10.35;
2;234.0;1;Efectivo;967.0;
2;234.0;2;Cheque;2832.0;
2;236.0;1;Rezago;849563.02;
2;238.0;1;Efectivo;1000.0;
2;239.0;1;Cheque;4011.31;
2;239.0;2;Retencion;6.62;
2;240.0;1;Efectivo;1000.0;
2;241.0;1;Cheque;8362.2;
2;241.0;2;Retencion;13.85;
2;242.0;1;Cheque;15545.0;
2;243.0;1;Cheque;44000.0;
2;244.0;1;Efectivo;1526.0;
2;245.0;1;Cheque;222209.78;
2;246.0;1;Cheque;15059.0;
2;247.0;1;Efectivo;11055.26;
2;248.0;1;Efectivo;1512.0;
2;249.0;1;Efectivo;4400.0;
2;250.0;1;Efectivo;10578.38;
2;251.0;1;Efectivo;1896.0;
2;251.0;2;Cheque;2800.0;
2;252.0;1;Cheque;6477.33;
2;252.0;2;Retencion;10.7;
2;253.0;1;Efectivo;935.7;
2;253.0;2;Retencion;1.49;
2;254.0;1;Efectivo;148.0;
2;255.0;1;Cheque;2136.05;
2;256.0;1;Cheque;2527.04;
2;257.0;1;Cheque;3679.42;
2;258.0;1;Rezago;500.0;
2;259.0;1;Efectivo;2112.0;
2;259.0;2;Cheque;2800.0;
2;261.0;1;Efectivo;100.0;
2;261.0;2;Cheque;3704.0;
2;262.0;1;Cheque;11257.99;
2;263.0;1;Efectivo;15307.0;
2;263.0;2;Cheque;7075.0;
2;264.0;1;Efectivo;2456.0;
2;265.0;1;Cheque;6180.0;
2;266.0;1;Cheque;28255.26;
2;267.0;1;Efectivo;1596.02;
2;267.0;2;Cheque;3099.98;
2;268.0;1;Efectivo;1120.0;
2;269.0;1;Efectivo;4202.0;
2;269.0;2;Cheque;2560.0;
2;270.0;1;Cheque;11550.0;
2;271.0;1;Cheque;12798.54;
2;271.0;2;Retencion;21.14;
2;272.0;1;Cheque;3792.0;
2;273.0;1;Efectivo;2000.0;
2;273.0;2;Cheque;4920.0;
2;274.0;1;Cheque;6000.0;
2;275.0;1;Efectivo;175.0;
2;275.0;2;Cheque;3401.8;
2;276.0;1;Efectivo;1361.0;
2;276.0;2;Cheque;34450.0;
2;276.0;3;Retencion;57.2;
2;277.0;1;Efectivo;7204.0;
2;277.0;2;Cheque;2456.0;
2;278.0;1;Efectivo;240.0;
2;278.0;2;Cheque;4000.0;
2;279.0;1;Cheque;18179.03;
2;279.0;2;Retencion;30.02;
2;280.0;1;Cheque;4696.0;
2;281.0;1;Efectivo;4.0;
2;281.0;2;Cheque;7364.01;
2;282.0;1;Efectivo;2000.0;
2;283.0;1;Efectivo;3600.0;
2;284.0;1;Efectivo;19828.0;
2;284.0;2;Cheque;9275.44;
2;285.0;1;Efectivo;6000.0;
2;286.0;1;Efectivo;5.0;
2;286.0;2;Rezago;600.0;
2;286.0;3;Cheque;2400.0;
2;286.0;4;Retencion;4.83;
2;287.0;1;Cheque;12350.0;
2;288.0;1;Cheque;11257.99;
2;289.0;1;Efectivo;1792.0;
2;290.0;1;Efectivo;2162.0;
2;291.0;1;Cheque;2456.0;
2;292.0;1;Efectivo;12523.12;
2;292.0;2;Rezago;327.0;
2;293.0;1;Efectivo;600.0;
2;294.0;1;Efectivo;2700.0;
2;295.0;1;Efectivo;19350.0;
2;295.0;2;Cheque;1910.08;
2;296.0;1;Cheque;5196.0;
2;297.0;1;Cheque;1388.99;
2;297.0;2;Retencion;2.21;
2;298.0;1;Efectivo;400.0;
2;298.0;2;Cheque;9208.0;
2;299.0;1;Efectivo;420.0;
2;300.0;1;Cheque;2324.0;
2;301.0;1;Efectivo;632.0;
2;301.0;2;Cheque;26953.0;
2;301.0;3;Retencion;5.11;
2;302.0;1;Efectivo;2527.04;
2;303.0;1;Efectivo;15030.0;
2;304.0;1;Efectivo;98980.85;
2;304.0;2;Retencion;163.47;
2;305.0;1;Efectivo;5580.0;
2;305.0;2;Cheque;7486.66;
2;306.0;1;Efectivo;3870.0;
2;306.0;2;Retencion;6.41;
2;307.0;1;Efectivo;3866.0;
2;308.0;1;Cheque;1152.4;
2;309.0;1;Efectivo;843.0;
2;309.0;3;Cheque;3000.0;
2;310.0;1;Cheque;29745.66;
2;311.0;1;Efectivo;1218.0;
2;311.0;2;Cheque;3354.29;
2;311.0;3;Retencion;7.57;
2;312.0;1;Rezago;0.0;
2;312.0;2;Cheque;17955.33;
2;312.0;3;Retencion;44.63;
2;313.0;1;Cheque;6266.0;
2;314.0;1;Efectivo;2320.0;
2;314.0;2;Cheque;3390.14;
2;315.0;1;Cheque;184112.07;
2;315.0;2;Retencion;1519.82;
2;316.0;1;Cheque;3657.0;
2;317.0;1;Efectivo;32195.0;
2;318.0;1;Efectivo;2285.0;
2;318.0;2;Retencion;3.78;
2;319.0;1;Efectivo;7636.0;
2;320.0;1;Cheque;3450.0;
2;321.0;1;Efectivo;50540.54;
2;322.0;1;Efectivo;900.0;
2;322.0;2;Cheque;13185.36;
2;323.0;1;Efectivo;50540.54;
2;324.0;1;Cheque;240984.88;
2;324.0;2;Retencion;2414.5;
2;325.0;1;Efectivo;1830.0;
2;326.0;1;Efectivo;1166.28;
2;327.0;1;Cheque;128742.44;
2;327.0;2;Retencion;317.82;
2;328.0;1;Efectivo;1435.0;
2;328.0;2;Cheque;15950.0;
2;329.0;1;Efectivo;1675.22;
2;329.0;2;Cheque;25791.35;
2;330.0;1;Efectivo;5000.0;
2;331.0;1;Cheque;3797.0;
2;332.0;1;Cheque;17750.0;
2;333.0;1;Cheque;11889.87;
2;334.0;1;Cheque;44301.03;
2;335.0;1;Cheque;215981.85;
2;335.0;2;Retencion;2135.78;
2;336.0;1;Cheque;6266.0;
2;337.0;1;Efectivo;560.0;
2;337.0;2;Cheque;4000.0;
2;338.0;1;Cheque;11000.0;
2;339.0;1;Efectivo;11000.0;
2;340.0;1;Cheque;6959.38;
2;341.0;1;Cheque;50552.63;
2;341.0;2;Retencion;82.67;
2;342.0;1;Cheque;5479.0;
2;343.0;1;Efectivo;30.01;
2;343.0;2;Cheque;30995.99;
2;344.0;1;Efectivo;1800.0;
2;345.0;1;Efectivo;2240.0;
2;346.0;1;Efectivo;4000.0;
2;346.0;2;Cheque;6707.0;
2;347.0;1;Cheque;171716.78;
2;347.0;2;Retencion;1135.0;
2;348.0;1;Efectivo;19000.0;
2;349.0;1;Efectivo;3247.0;
2;349.0;2;Cheque;54993.32;
2;350.0;1;Efectivo;7500.0;
2;351.0;1;Cheque;23474.52;
2;351.0;2;Retencion;145.64;
2;352.0;1;Cheque;9674.17;
2;353.0;1;Cheque;17123.53;
2;353.0;2;Retencion;28.35;
2;354.0;1;Efectivo;1364.7;
2;356.0;1;Cheque;58709.2;
2;357.0;1;Cheque;22831.4;
2;357.0;2;Retencion;37.8;
2;358.0;1;Efectivo;1152.4;
2;359.0;1;Cheque;28255.26;
2;360.0;1;Cheque;53084.0;
2;360.0;2;Retencion;288.0;
2;361.0;1;Efectivo;2500.0;
2;362.0;1;Efectivo;3000.0;
2;363.0;1;Cheque;56692.39;
2;363.0;2;Retencion;92.71;
2;364.0;1;Cheque;89236.4;
2;364.0;2;Retencion;1496.0;
2;365.0;1;Efectivo;1152.4;
2;366.0;1;Efectivo;2672.0;
2;367.0;1;Cheque;23474.52;
2;367.0;2;Retencion;145.62;
2;368.0;1;Cheque;17665.89;
2;368.0;2;Retencion;49.23;
2;369.0;1;Cheque;4215.25;
2;370.0;1;Cheque;11424.45;
2;370.0;2;Retencion;18.91;
2;371.0;1;Cheque;52732.0;
2;371.0;2;Retencion;640.0;
2;372.0;1;Cheque;78736.0;
2;372.0;2;Retencion;1320.0;
2;373.0;1;Efectivo;1152.0;
2;375.0;1;Efectivo;1472.0;
2;376.0;1;Cheque;12292.0;
2;377.0;1;Mercaderia;363.0;
2;377.0;2;Cheque;58927.0;
2;378.0;1;Cheque;117418.4;
2;380.0;1;Efectivo;1155.0;
2;380.0;2;Rezago;100.0;
2;381.0;1;Efectivo;2782.0;
2;382.0;1;Efectivo;1472.0;
2;383.0;1;Efectivo;5405.0;
2;384.0;1;Efectivo;5520.0;
2;386.0;1;Cheque;58709.0;
2;387.0;1;Cheque;7000.0;
2;388.0;1;Cheque;58709.2;
2;389.0;1;Cheque;11415.7;
2;389.0;2;Retencion;18.9;
2;390.0;1;Efectivo;1232.0;
2;391.0;1;Cheque;70451.04;
2;392.0;1;Cheque;75901.96;
2;392.0;2;Retencion;420.0;
2;393.0;1;Efectivo;25798.33;
2;393.0;2;Retencion;184.2;
2;395.0;1;Cheque;127826.89;
2;395.0;2;Retencion;307.08;
2;396.0;1;Cheque;5546.0;
2;397.0;1;Cheque;6000.0;
2;401.0;1;Cheque;2458.03;
2;401.0;2;Retencion;4.06;
2;402.0;1;Efectivo;1375.0;
2;403.0;1;Cheque;3743.38;
2;404.0;1;Cheque;14424.48;
2;405.0;1;Cheque;56216.0;
2;406.0;1;Efectivo;1400.0;
2;407.0;1;Cheque;9236.87;
2;407.0;2;Retencion;18.51;
2;409.0;1;Efectivo;1152.4;
2;410.0;1;Efectivo;1000.0;
2;411.0;1;Cheque;7000.0;
2;412.0;1;Efectivo;1310.0;
2;413.0;1;Efectivo;1375.0;
2;414.0;1;Cheque;183682.32;
2;415.0;1;Efectivo;965.0;
2;416.0;1;Efectivo;3729.0;
2;417.0;1;Efectivo;1000.0;
2;418.0;1;Cheque;17200.13;
2;418.0;2;Retencion;34.47;
2;419.0;1;Efectivo;1375.0;
2;420.0;1;Cheque;82800.0;
2;421.0;1;Cheque;9166.65;
2;422.0;1;Cheque;273598.71;
2;423.0;1;Efectivo;1500.0;
2;424.0;1;Efectivo;1267.0;
2;425.0;1;Cheque;4299.53;
2;425.0;2;Retencion;7.12;
2;426.0;1;Cheque;29068.75;
2;426.0;2;Retencion;58.25;
2;427.0;1;Cheque;28255.26;
2;429.0;1;Efectivo;1000.0;
2;430.0;1;Efectivo;43338.25;
