NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
2070;A;2;65;3;1300.0;0;3900.0;C/U;0.0
2070;A;3;100;1;2580.0;0;2580.0;C/U;0.0
2071;A;1;180;1;4200.0;0;4200.0;C/U;0.0
2071;A;2;W1240;1;5300.0;0;5300.0;C/U;0.0
2072;A;1;45FKA;2;1471.07;0;2942.14;C/U;0.0
2073;A;1;90;1;2723.14;25;2042.36;C/U;680.79
2074;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2075;A;1;180;6;3023.48;0;18140.88;C/U;0.0
2076;A;1;180;14;3023.48;0;42328.72;C/U;0.0
2077;A;1;100SP;1;2772.72;20;2218.18;C/U;554.54
2078;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2079;A;1;45FKA;1;1471.07;20;1176.86;C/U;294.21
2080;A;1;180;3;4099.17;20;9838.01;C/U;2459.5
2081;A;1;180;2;4099.17;25;6148.76;C/U;2049.59
2081;A;2;110C;2;2772.72;25;4159.08;C/U;1386.36
2081;A;3;75;1;1760.33;25;1320.25;C/U;440.08
2082;A;1;180;2;4099.17;25;6148.76;C/U;2049.59
2083;A;1;180;8;4099.17;20;26234.69;C/U;6558.67
2084;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2085;A;1;65;9;1471.07;35;8605.76;C/U;4633.87
2085;A;2;75;5;1760.33;35;5721.07;C/U;3080.58
2085;A;3;80T;1;2045.45;35;1329.54;C/U;715.91
2085;A;4;45FKA;1;1471.07;35;956.2;C/U;514.87
2086;A;1;45FIT;1;2082.64;25;1561.98;C/U;520.66
2086;A;2;65;2;1471.07;25;2206.61;C/U;735.54
2086;A;3;75;1;1760.33;25;1320.25;C/U;440.08
2086;A;4;100SP;1;2772.72;25;2079.54;C/U;693.18
2087;A;1;75;3;1760.33;25;3960.74;C/U;1320.25
2087;A;2;65;1;1471.07;25;1103.3;C/U;367.77
2087;A;3;50;1;1471.07;25;1103.3;;367.77
2088;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2089;A;1;75;2;1760.33;20;2816.53;C/U;704.13
2089;A;2;65;2;1471.07;20;2353.71;C/U;588.43
2090;A;1;180;2;3011.51;0;6023.02;C/U;0.0
2091;A;1;65;2;1027.0;0;2054.0;C/U;0.0
2091;A;2;110C;1;1938.0;0;1938.0;C/U;0.0
2092;A;1;180;10;3000.81;0;30008.1;C/U;0.0
2093;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2094;A;1;180;2;4099.17;20;6558.67;C/U;1639.67
2094;A;2;110C;2;2772.72;20;4436.35;C/U;1109.09
2094;A;3;65;2;1471.07;20;2353.71;C/U;588.43
2094;A;4;75;1;1760.33;20;1408.26;C/U;352.07
2095;A;1;180;6;4099.17;20;19676.02;C/U;4919.0
2096;A;1;65;4;1471.07;20;4707.42;C/U;1176.86
2097;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2097;A;2;75;1;1760.33;20;1408.26;C/U;352.07
2098;A;1;65;1;1471.07;25;1103.3;C/U;367.77
2099;A;1;180;6;3011.51;0;18069.06;C/U;0.0
2100;A;1;180;2;4099.17;20;6558.67;C/U;1639.67
2101;A;1;65;2;1471.07;25;2206.61;C/U;735.54
2102;A;1;75;3;1760.33;25;3960.74;C/U;1320.25
2102;A;2;65;2;1471.07;25;2206.61;C/U;735.54
2102;A;3;50;1;1471.07;25;1103.3;C/U;367.77
2102;A;4;180;1;4099.17;25;3074.38;C/U;1024.79
2103;A;1;65;10;1471.07;35;9561.96;C/U;5148.75
2103;A;2;75;7;1760.33;35;8009.5;C/U;4312.81
2103;A;3;110C;1;2772.72;35;1802.27;C/U;970.45
2104;A;1;180;10;4099.17;20;32793.36;C/U;8198.34
2104;A;2;65;5;1471.07;20;5884.28;C/U;1471.07
2105;A;1;180;4;3011.51;0;12046.04;C/U;0.0
2106;A;1;75;2;1628.09;0;3256.18;C/U;0.0
2106;A;2;65;2;1363.63;0;2727.26;C/U;0.0
2106;A;3;45FIT;1;1776.85;0;1776.85;C/U;0.0
2107;A;1;65;2;1471.07;25;2206.61;C/U;735.54
2107;A;2;75;1;1760.33;25;1320.25;C/U;440.08
2107;A;3;1004X4;1;2723.14;25;2042.36;C/U;680.79
2107;A;4;90;1;2723.14;25;2042.36;C/U;680.79
2108;A;1;75;10;1628.09;20;13024.72;C/U;3256.18
2108;A;2;180;15;3793.38;20;45520.56;C/U;11380.14
2108;A;3;110C;30;2566.11;20;61586.64;C/U;15396.66
2109;A;1;75;2;1760.33;25;2640.5;C/U;880.17
2109;A;2;65;1;1471.07;25;1103.3;C/U;367.77
2110;A;1;45FKA;1;1471.07;25;1103.3;C/U;367.77
2110;A;2;65;2;1471.07;25;2206.61;C/U;735.54
2110;A;3;75;1;1760.33;25;1320.25;C/U;440.08
2110;A;4;90;1;2723.14;25;2042.36;C/U;680.79
2110;A;5;100SP;1;2772.72;25;2079.54;C/U;693.18
2110;A;6;110C;5;2772.72;25;10397.7;C/U;3465.9
2111;A;1;180;2;4099.17;20;6558.67;C/U;1639.67
2111;A;2;110C;1;2772.72;20;2218.18;C/U;554.54
2111;A;3;75;1;1760.33;20;1408.26;C/U;352.07
2111;A;4;65;1;1471.07;20;1176.86;C/U;294.21
2112;A;1;75;2;1760.33;20;2816.53;C/U;704.13
2113;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2114;A;1;65;33;998.34;0;32945.22;C/U;0.0
2114;A;2;75;23;1195.04;0;27485.92;C/U;0.0
2114;A;3;100;3;1876.86;0;5630.58;C/U;0.0
2114;A;4;180;2;2782.64;0;5565.28;C/U;0.0
2115;A;1;180;10;3023.49;0;30234.9;C/U;0.0
2116;A;1;65;1;1471.07;20;1176.86;C/U;294.21
2117;A;1;180;4;3000.8;0;12003.2;C/U;0.0
2118;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2119;A;1;75;2;1628.09;20;2604.94;C/U;651.24
2119;A;2;65;2;1363.63;20;2181.81;C/U;545.45
2120;A;1;180;10;3015.84;0;30158.4;C/U;0.0
2120;A;2;75;2;1760.33;20;2816.53;C/U;704.13
2121;A;1;65;3;1471.07;20;3530.57;C/U;882.64
2121;A;2;75;1;1760.33;20;1408.26;C/U;352.07
2122;A;1;110C;1;2772.72;25;2079.54;C/U;693.18
2122;A;2;75;1;1760.33;25;1320.25;C/U;440.08
2123;A;1;75;1;1760.33;20;1408.26;C/U;352.07
2124;A;1;180;6;3011.51;0;18069.06;C/U;0.0
2125;A;1;RES;20000;17.5;0;350000.0;;0.0
2126;A;1;65;2;1471.07;20;2353.71;C/U;588.43
2127;A;1;180;4;3120.52;0;12482.08;C/U;0.0
